,Exp. no.,Temperature (K),Widths (kHz),Widths Error (kHz),widths_fit (kHz)
0,1,193.14999999999998,85.96180290837158,0.06151217485046528,85.24808773186983
1,3,203.14999999999998,85.49500646867246,0.16874881020783294,85.10138011425146
2,4,213.14999999999998,84.56498738433476,0.05689648054777834,84.65796197176336
3,6,223.14999999999998,82.51448393751093,0.051145144812616505,83.46715523280936
4,8,233.14999999999998,79.87023267584422,0.04759923927884835,80.6364962749641
5,10,243.14999999999998,74.76052753420758,0.03271233871662391,74.80800070933589
6,12,253.14999999999998,66.4356200539283,0.03830815177893819,64.83114814640676
7,14,263.15,50.61959618759733,0.05555743807292675,51.295612350571695
8,16,273.15,36.95261769114886,0.052454656654414775,37.08608590148963
9,18,283.15,24.78067402756596,0.041032290219213986,25.262341934905372
10,20,293.15,16.773962866453598,0.02320580598639158,16.958251931926267
11,22,303.15,11.929972943139925,0.011493486660550063,11.680555542043269
12,24,313.15,8.91742106803396,0.003964462007417317,8.477990368339533
13,26,323.15,7.200742902806826,0.003336504868493213,6.559417950036035
14,28,333.15,5.90266561928637,0.0013661938110213921,5.4036639733374106
15,30,343.15,4.9331597643181695,0.0011282338711530412,4.6970882433984045
16,32,353.15,4.251805786862409,0.0008299587363462804,4.256883792375478
17,34,363.15,3.7858702363413212,0.0007110750732850565,3.9769954209624907
18,36,373.15,3.4522985245408084,0.0008675873600122558,3.7953665314563256
19,38,383.15,3.2467230229496424,0.001050848162474627,3.6751419568728707
20,40,393.15,3.1194990071038364,0.0012821148299090519,3.594043843940602
